"https://www.artic.edu/iiif/2/a28e4e8f-f072-092a-52f9-b165c97c7a0a/full/600,/0/default.jpg",Title,Year,Title_URL,Image,Artist,Decade
0,"Starry Night and the Astronauts, 1972",1972,https://www.artic.edu/artworks/129884/starry-night-and-the-astronauts,"https://www.artic.edu/iiif/2/e966799b-97ee-1cc6-bd2f-a94b4b8bb8f9/full/600,/0/default.jpg",Alma Thomas,1970
1,"Many Mansions, 1994",1994,https://www.artic.edu/artworks/137125/many-mansions,"https://www.artic.edu/iiif/2/d94d0e3d-5d89-ce07-ee0f-7fa6d8def8ab/full/600,/0/default.jpg",Kerry James Marshall,1990
2,"Untitled, 1964",1964,https://www.artic.edu/artworks/229393/untitled,"https://www.artic.edu/iiif/2/7690dd6e-05ed-773c-a80e-e7cc4eb879cc/full/600,/0/default.jpg",Tanaka Atsuko,1960
3,"City Landscape, 1955",1955,https://www.artic.edu/artworks/86385/city-landscape,"https://www.artic.edu/iiif/2/f7f9615d-2c2b-6b23-47b2-cd6cdc846504/full/600,/0/default.jpg",Joan Mitchell,1950
4,"Hero Construction, 1958",1958,https://www.artic.edu/artworks/8633/hero-construction,"https://www.artic.edu/iiif/2/62f2ca7a-8c22-bb7e-9e3d-7453652a3350/full/600,/0/default.jpg",Richard Hunt,1950
5,"Excavation, 1950",1950,https://www.artic.edu/artworks/76244/excavation,"https://www.artic.edu/iiif/2/6e72d851-0c15-978f-d0cf-0eadb94c0cf9/full/600,/0/default.jpg",Willem de Kooning,1950
6,"Sky above Clouds IV, 1965",1965,https://www.artic.edu/artworks/100858/sky-above-clouds-iv,"https://www.artic.edu/iiif/2/8fa4d1dd-b05f-eb8d-b83f-7b5dd65642db/full/600,/0/default.jpg",Georgia O’Keeffe,1960
7,"Mao, 1972",1972,https://www.artic.edu/artworks/47149/mao,"https://www.artic.edu/iiif/2/97cb5c4b-cce5-c4d8-f303-613ce92832c7/full/600,/0/default.jpg",Andy Warhol,1970
8,"America Windows, 1977",1977,https://www.artic.edu/artworks/109439/america-windows,"https://www.artic.edu/iiif/2/e5d11520-96cd-8b62-06a9-6d16ddf8affd/full/600,/0/default.jpg",Marc Chagall,1970
9,"Figure with Meat, 1954",1954,https://www.artic.edu/artworks/4884/figure-with-meat,"https://www.artic.edu/iiif/2/024d361d-31d1-e53b-cca0-ee14f822347f/full/600,/0/default.jpg",Francis Bacon,1950
10,"Greyed Rainbow, 1953",1953,https://www.artic.edu/artworks/83642/greyed-rainbow,"https://www.artic.edu/iiif/2/f9932dea-7999-ea96-fcab-965e027051c2/full/600,/0/default.jpg",Jackson Pollock,1950
11,"American Collectors (Fred and Marcia Weisman), 1968",1968,https://www.artic.edu/artworks/102234/american-collectors-fred-and-marcia-weisman,"https://www.artic.edu/iiif/2/f95a0a70-90c5-2806-2a66-68f27f8c0735/full/600,/0/default.jpg",David Hockney,1960
12,"Woman Descending the Staircase (Frau die Treppe herabgehend), 1965",1965,https://www.artic.edu/artworks/147003/woman-descending-the-staircase-frau-die-treppe-herabgehend,"https://www.artic.edu/iiif/2/e7f4caac-6a16-e332-9a51-34f986d4b451/full/600,/0/default.jpg",Gerhard Richter,1960
13,"Clown Torture, 1987",1987,https://www.artic.edu/artworks/146989/clown-torture,"https://www.artic.edu/iiif/2/4ae352f3-8a51-30cd-6e91-60683d21d12a/full/600,/0/default.jpg",Bruce Nauman,1980
14,"Untitled (Purple, White, and Red), 1953",1953,https://www.artic.edu/artworks/100472/untitled-purple-white-and-red,"https://www.artic.edu/iiif/2/4d152c81-8389-e426-e5f2-e98902d2515a/full/600,/0/default.jpg",Mark Rothko,1950
15,"Hinoki, 2007",2007,https://www.artic.edu/artworks/189207/hinoki,"https://www.artic.edu/iiif/2/0a4d7fed-ab8d-4772-1b42-2888218e8ff8/full/600,/0/default.jpg",Charles Ray,2000
16,"Chicago, 1950",1950,https://www.artic.edu/artworks/100089/chicago,"https://www.artic.edu/iiif/2/4e15cfbc-39f8-f7ea-fb49-a1652df7ea9e/full/600,/0/default.jpg",Harry Callahan,1950
17,"Hang Up, 1966",1966,https://www.artic.edu/artworks/71396/hang-up,"https://www.artic.edu/iiif/2/3269a9a2-55b2-0cab-3cac-0540f395f91d/full/600,/0/default.jpg",Eva Hesse,1960
18,"Target, 1961",1961,https://www.artic.edu/artworks/229351/target,"https://www.artic.edu/iiif/2/332d36a2-0803-8487-0ab3-fcf6c2ee8c53/full/600,/0/default.jpg",Jasper Johns,1960
19,"Alka Seltzer, 1966",1966,https://www.artic.edu/artworks/122054/alka-seltzer,"https://www.artic.edu/iiif/2/93a86517-a89f-1b8a-c910-119e3417cc4e/full/600,/0/default.jpg",Roy Lichtenstein,1960
20,"Harvest Talk, 1953",1953,https://www.artic.edu/artworks/111810/harvest-talk,"https://www.artic.edu/iiif/2/80fa6e5f-e02a-57b6-c007-8359e750d36d/full/600,/0/default.jpg",Charles White,1950
21,"Gasthof zur Muldentalsperre, 2000/2002",1972,https://www.artic.edu/artworks/160226/gasthof-zur-muldentalsperre,"https://www.artic.edu/iiif/2/153493fa-8cc8-4126-f790-0a796bdf84de/full/600,/0/default.jpg",Peter Doig,2000
22,"Ready-to-Wear, 1955",1955,https://www.artic.edu/artworks/2189/ready-to-wear,"https://www.artic.edu/iiif/2/8a4e78cf-d284-f262-6c9d-0ad15bc2d43b/full/600,/0/default.jpg",Stuart Davis,1950
23,"Human Nature/Life Death, 1983",1983,https://www.artic.edu/artworks/147513/human-nature-life-death,"https://www.artic.edu/iiif/2/7bac3e48-0e65-9d28-1e26-8f7ddb2a8d88/full/600,/0/default.jpg",Bruce Nauman,1980
24,"The Flooded Grave, 1998–2000",1972,https://www.artic.edu/artworks/157160/the-flooded-grave,"https://www.artic.edu/iiif/2/3df4023e-eb91-249b-9aeb-c754cf708252/full/600,/0/default.jpg",Jeff Wall,1990
25,"Interrogation II, 1981",1981,https://www.artic.edu/artworks/100250/interrogation-ii,"https://www.artic.edu/iiif/2/00dbea0a-d94b-ec69-dc3f-cb4f3eef7a96/full/600,/0/default.jpg",Leon Golub,1980
